ACCOUNT_NUMBER,APP_NAME,USER_ID,INST_ID,INST_NAME,TRADER_ID,HIERARCHY_SEQ_NUM,SRC_SYSTEM,EVENT_TYPE,INSTRUMENT_TYPE,TICKER,CURRENCY,PRICE,QUANTITY,AMOUNT,BROKER_ID,STATUS,IS_ACTIVE,TRADE_STATUS,TRADE_ID,TRADE_TS,TRADE_TYPE,BASE_TRADE_ID,APPROVAL_STATUS,CATEGORY,COMMENTS,TRADEBOOK,CONTRABOOK,CONTRACT_ID,COUNTERPARTY,EVENT_ACTION,EVENT_TS,EVENT_REASON,EXTERNAL_ID,NOTES_FRONT_OFFICE,NOTES_BACK_OFFICE,NOVATION_ID,NOVATION_AMOUNT,RELATED_EXCHANGE,PRIMARY_BOOK,RISK_ID,FIXED_RATE,MATURITY_DATE,FLOATING_RATE_ISDA_INDEX,STRIKE_PRICE,OPTION_TYPE,BUY_SELL,MISCELLANEOUS_BLOB_1,MISCELLANEOUS_BLOB_2,VERSION
2a4b0f56fa7c670,CAPIQ,18e7ab05572adc0,23e4f1e69b8cd30,MUFG,287,1,DCC,CXLREQ,Option,PHM,CAD,161.1363,801783,129196346.02,592,PASS,true,SETTLED,35a4e90b,2018-09-28 08:06:46.798,STOP,35a4e90a,REJECTED,DEFAULT,USER_ID: '18e7ab05572adc0' AMOUNT: '1.291963460229E8' SRC_SYSTEM: 'DCC' TICKER: 'PHM',FIDELITY,OPTIONS PLACE,531794,Wells Fargo,REJECT,2018-09-01 08:06:46.798,Retirement,308804,ACCOUNT_NUMBER: '2a4b0f56fa7c670' APP_NAME: 'CAPIQ' INST_NAME: 'MUFG' INSTRUMENT_TYPE: 'Option',BROKER: '592' TRADE_ID: '35a4e90b' TRADE_STATUS: 'SETTLED' EVENT_REASON: 'Retirement',2a915170cb590a0,5738986.596683142,CBOE,AML,260decffadec960,4.37,2018-11-04,VANGUARD TOTAL,167.0335,OTC,SUSPEND,1c0d50747fffff4,1f5ec069459d610,1
29ea5493f1d5cb0,CAPIQ,2bbaa2938fe6e20,1dabf0456b69960,China Construction Bank,82,58,PROTO,NEWREQ,Stock,M,JPY,163.4385,329164,53798070.41,948,CANCELLED,true,INPROCESS,35a4e90b,2018-09-28 08:06:46.798,SELL STOP,35a4e90a,DEFERRED,RISK,USER_ID: '2bbaa2938fe6e20' AMOUNT: '5.3798070414E7' SRC_SYSTEM: 'PROTO' TICKER: 'M',MERRILL EDGE,BROADRIDGE,5878819,Deutsche Bank,CLEAR,2018-08-14 08:06:46.798,Retirement,6744039,ACCOUNT_NUMBER: '29ea5493f1d5cb0' APP_NAME: 'CAPIQ' INST_NAME: 'China Construction Bank' INSTRUMENT_TYPE: 'Stock',BROKER: '948' TRADE_ID: '35a4e90b' TRADE_STATUS: 'INPROCESS' EVENT_REASON: 'Retirement',19df85a2b04f83a,8066899.055613131,NSX,DERIVATIVES,24b82036a93dde0,3.74,2018-10-26,ISHARES FUTURES,165.3205,ETC,SELL,279cc5b90f45170,20205cc2901f9b8,1
2280476af10ea70,BLOOMBERG,1f12b3369636ef0,196938f30d1f536,UBS,528,11,FRONTIER,FILLEDREQ,Futures,MTD,CHF,195.2631,871240,170121023.24,807,FAIL,true,INPROCESS,35a4e90c,2018-09-26 05:35:04.722,BUY LIMIT,35a4e905,DEFERRED,DEFAULT,USER_ID: '1f12b3369636ef0' AMOUNT: '1.70121023244E8' SRC_SYSTEM: 'FRONTIER' TICKER: 'MTD',VANGUARD,OPTIONS PLACE,1341714,Barclays,DEFER,2018-07-05 05:35:04.722,Consolidation,9907740,ACCOUNT_NUMBER: '2280476af10ea70' APP_NAME: 'BLOOMBERG' INST_NAME: 'UBS' INSTRUMENT_TYPE: 'Futures',BROKER: '807' TRADE_ID: '35a4e90c' TRADE_STATUS: 'INPROCESS' EVENT_REASON: 'Consolidation',182f4c9974794da,6977731.771220044,CME,AML,18cc38d73aaefd0,4.29,2018-12-22,ISHARES FUTURES,176.9753,PUT,SUSPEND,1abd648f00f5bdc,1d85d8ab19f16c4,1
29da60dce577a70,THOMSON REUTERS,265b69bb19c50a0,2113d49f3c990d0,JP Morgan,63,8,HORIZON,NEWREQ,Option,OKE,AUD,170.5763,89953,15343849.91,964,CANCELLED,true,SUBMITTED,35a4e90d,2018-09-27 01:14:18.707,BUY LIMIT,35a4e901,APPROVED,RISK,USER_ID: '265b69bb19c50a0' AMOUNT: '1.53438499139E7' SRC_SYSTEM: 'HORIZON' TICKER: 'OKE',VANGUARD,BROADRIDGE,7279719,ICBC,APPROVE,2018-08-05 01:14:18.707,Consolidation,9950613,ACCOUNT_NUMBER: '29da60dce577a70' APP_NAME: 'THOMSON REUTERS' INST_NAME: 'JP Morgan' INSTRUMENT_TYPE: 'Option',BROKER: '964' TRADE_ID: '35a4e90d' TRADE_STATUS: 'SUBMITTED' EVENT_REASON: 'Consolidation',1f0d2aa7d7aac40,2483892.1171065182,CME,AML,22d4c385095c4a0,3.70,2018-12-28,VANGUARD TOTAL,156.0216,CALL,SELL,2bb19d258617c70,19afed74fdfad0c,1
27c5d01cda76260,CAPIQ,237c56653a19600,246d3dde5330110,Bradesco,194,45,PROTO,MODREQ,Option,XL,JPY,192.9528,961193,185464873.16,481,PASS,true,SETTLED,35a4e90e,2018-09-26 02:24:51.786,BUY STOP,35a4e90b,ONHOLD,RISK,USER_ID: '237c56653a19600' AMOUNT: '1.8546487315789998E8' SRC_SYSTEM: 'PROTO' TICKER: 'XL',BLOOMBERG,OPTIONS PRO,3638406,Deutsche Bank,REJECT,2018-07-26 02:24:51.786,Retirement,3257358,ACCOUNT_NUMBER: '27c5d01cda76260' APP_NAME: 'CAPIQ' INST_NAME: 'Bradesco' INSTRUMENT_TYPE: 'Option',BROKER: '481' TRADE_ID: '35a4e90e' TRADE_STATUS: 'SETTLED' EVENT_REASON: 'Retirement',209479de5e7ca88,5415894.191868582,NYSE,AML,268e76ead10c6a0,8.69,2018-12-17,ISHARES FUTURES,154.2705,CALL,SELL,245bb88dce77438,1765bd0976e89be,1
267665593d63470,BLOOMBERG,2b91d7f5cbbe7a0,196938f30d1f536,UBS,911,12,DCC,NEWREQ,Cash,EBAY,CNY,27.0664,315438,8537771.08,398,FAIL,true,SUBMITTED,35a4e90f,2018-09-28 04:33:11.377,SELL STOP,35a4e900,REJECTED,CASH,USER_ID: '2b91d7f5cbbe7a0' AMOUNT: '8537771.0832' SRC_SYSTEM: 'DCC' TICKER: 'EBAY',MERRILL EDGE,OPTIONS PRO,5459814,Goldman Sachs,WITHDRAW,2018-09-01 04:33:11.377,Investment,4787939,ACCOUNT_NUMBER: '267665593d63470' APP_NAME: 'BLOOMBERG' INST_NAME: 'UBS' INSTRUMENT_TYPE: 'Cash',BROKER: '398' TRADE_ID: '35a4e90f' TRADE_STATUS: 'SUBMITTED' EVENT_REASON: 'Investment',22f5c5884078868,4825446.319147231,AMEX,AML,1c9bce4581482c8,8.64,2019-01-05,SPDR MIDCAP,26.4007,ETC,SUSPEND,1fedd6b86010b20,2952705c782f760,1
28655216f08fa70,THOMSON REUTERS,2339816992832b8,27285f263a6a370,RBC,408,34,FRONTIER,NEWREQ,Futures,CHD,JPY,63.7234,400579,25526255.85,177,CANCELLED,true,SETTLED,35a4e90f,2018-09-28 04:33:11.377,SELL LIMIT,35a4e900,REJECTED,CASH,USER_ID: '2339816992832b8' AMOUNT: '2.55262558486E7' SRC_SYSTEM: 'FRONTIER' TICKER: 'CHD',BLOOMBERG,OPTIONS PLACE,7588728,China Construction Bank,REJECT,2018-09-17 04:33:11.377,Retirement,3816955,ACCOUNT_NUMBER: '28655216f08fa70' APP_NAME: 'THOMSON REUTERS' INST_NAME: 'RBC' INSTRUMENT_TYPE: 'Futures',BROKER: '177' TRADE_ID: '35a4e90f' TRADE_STATUS: 'SETTLED' EVENT_REASON: 'Retirement',288deb206e38f10,9367606.616941119,NYSE,AML,17df1807aa15043,10.03,2018-10-20,VANGUARD TOTAL,66.9649,ETC,BUY,1a8ec33362b1c38,19c5a5c6a9fb412,1
227ce38afa19d30,CAPIQ,2075d1b2205a078,18ff792a77871ac,Capital One,847,15,HORIZON,NEWREQ,Futures,AZO,CHF,60.0421,103850,6235372.09,621,PASS,true,DONE,35a4e90f,2018-09-28 04:33:11.377,SELL LIMIT,35a4e900,APPROVED,MARGIN,USER_ID: '2075d1b2205a078' AMOUNT: '6235372.085' SRC_SYSTEM: 'HORIZON' TICKER: 'AZO',VANGUARD,OPTIONS PLACE,6727061,China Construction Bank,DEFER,2018-07-30 04:33:11.377,Income,7877458,ACCOUNT_NUMBER: '227ce38afa19d30' APP_NAME: 'CAPIQ' INST_NAME: 'Capital One' INSTRUMENT_TYPE: 'Futures',BROKER: '621' TRADE_ID: '35a4e90f' TRADE_STATUS: 'DONE' EVENT_REASON: 'Income',16c7e593e85f00d,8184671.713300443,CHX,DERIVATIVES,21c97b52c2c6e10,9.62,2018-12-16,VANGUARD TOTAL,64.7584,OTC,SUSPEND,17aa56e17c9d3c8,24b72520c91c428,1
1659723abf2763a,THOMSON REUTERS,23d8216591c25b8,1d8f29ea845d658,Chase,662,8,DCC,FILLEDREQ,Bond,DFS,USD,20.9721,58542,1227748.68,505,CANCELLED,true,DONE,35a4e910,2018-09-29 06:29:52.458,BUY LIMIT,35a4e909,DEFERRED,DEFAULT,USER_ID: '23d8216591c25b8' AMOUNT: '1227748.6782' SRC_SYSTEM: 'DCC' TICKER: 'DFS',FIDELITY,OPTIONS PRO,2850199,Barclays,APPROVE,2018-07-03 06:29:52.458,Retirement,9209157,ACCOUNT_NUMBER: '1659723abf2763a' APP_NAME: 'THOMSON REUTERS' INST_NAME: 'Chase' INSTRUMENT_TYPE: 'Bond',BROKER: '505' TRADE_ID: '35a4e910' TRADE_STATUS: 'DONE' EVENT_REASON: 'Retirement',29507aee245f820,4016560.3504342088,PHLX,AML,1e51e7500390df8,7.80,2018-10-22,VANGUARD TOTAL,19.6219,ETC,HOLD,1872016eb0da6fc,184ae76b4666ac0,1
29da60dce577a70,THOMSON REUTERS,265b69bb19c50a0,23e4f1e69b8cd30,MUFG,871,68,LIC,NEWCONF,Cash,REG,USD,37.3816,477220,17839247.15,531,PASS,true,DONE,35a4e910,2018-09-29 06:29:52.458,SELL STOP,35a4e909,ONHOLD,DEFAULT,USER_ID: '265b69bb19c50a0' AMOUNT: '1.7839247152E7' SRC_SYSTEM: 'LIC' TICKER: 'REG',BLOOMBERG,IB,4053751,Bank of America,CLEAR,2018-09-10 06:29:52.458,Consolidation,7956061,ACCOUNT_NUMBER: '29da60dce577a70' APP_NAME: 'THOMSON REUTERS' INST_NAME: 'MUFG' INSTRUMENT_TYPE: 'Cash',BROKER: '531' TRADE_ID: '35a4e910' TRADE_STATUS: 'DONE' EVENT_REASON: 'Consolidation',25bcaaf3d0f4a58,4038297.526237697,ISE,BANK,1bb8dc276ae1c0c,10.06,2018-10-27,FIDELITY SP500,37.5215,CALL,SELL,19025ce84b3b7a2,17401963bf5bfbb,1
2949b6ed9f0aeb0,BLOOMBERG,2605cad1f30f710,1c95ace2ee89c8c,ICBC,980,5,PROTO,FILLEDREQ,Cash,TSCO,CAD,182.5119,551547,100663890.91,799,PASS,true,SUBMITTED,35a4e910,2018-09-29 06:29:52.458,SELL LIMIT,35a4e909,APPROVED,MARGIN,USER_ID: '2605cad1f30f710' AMOUNT: '1.006638909093E8' SRC_SYSTEM: 'PROTO' TICKER: 'TSCO',VANGUARD,OPTIONS PRO,5812542,Bradesco,REJECT,2018-08-01 06:29:52.458,Retirement,4620433,ACCOUNT_NUMBER: '2949b6ed9f0aeb0' APP_NAME: 'BLOOMBERG' INST_NAME: 'ICBC' INSTRUMENT_TYPE: 'Cash',BROKER: '799' TRADE_ID: '35a4e910' TRADE_STATUS: 'SUBMITTED' EVENT_REASON: 'Retirement',229c645d22186e8,9199018.635969453,NYSE,AML,1a642e41ab6b044,8.99,2018-12-07,SPDR MIDCAP,173.8806,PUT,BUY,1bdb3f43a9a02f0,298517f7d4d2c90,1
20b5aa99bb42ab0,CAPIQ,2c0c6bf6d291aa0,23e4f1e69b8cd30,MUFG,883,28,FRONTIER,NEWREQ,Preferred Stock,TIF,GBP,191.1898,699901,133813932.21,720,PASS,true,CANCELLED,35a4e911,2018-09-26 04:53:39.860,MARKET,35a4e90f,DEFERRED,DEFAULT,USER_ID: '2c0c6bf6d291aa0' AMOUNT: '1.338139322098E8' SRC_SYSTEM: 'FRONTIER' TICKER: 'TIF',REUTERS,BROADRIDGE,7178288,Deutsche Bank,DEFER,2018-06-30 04:53:39.860,Debt,1628166,ACCOUNT_NUMBER: '20b5aa99bb42ab0' APP_NAME: 'CAPIQ' INST_NAME: 'MUFG' INSTRUMENT_TYPE: 'Preferred Stock',BROKER: '720' TRADE_ID: '35a4e911' TRADE_STATUS: 'CANCELLED' EVENT_REASON: 'Debt',239f1702ebc7f30,9194392.072876902,CME,REGULATORY,21cac9f838bb4c8,5.30,2018-10-04,FIDELITY SP500,192.4656,PUT,SELL,26767b629593430,23b6c6b614a26b0,1
1bed5c50ce44c38,THOMSON REUTERS,20a1c77745c6908,1ee9018c01e7da0,BNP Paribas,770,10,HORIZON,FILLEDREQ,Preferred Stock,BKNG,MXN,130.9424,949047,124270491.89,564,CANCELLED,true,SETTLED,35a4e911,2018-09-26 04:53:39.860,BUY STOP,35a4e90f,REJECTED,MARGIN,USER_ID: '20a1c77745c6908' AMOUNT: '1.242704918928E8' SRC_SYSTEM: 'HORIZON' TICKER: 'BKNG',MERRILL EDGE,BROADRIDGE,9692018,Santander,APPROVE,2018-08-23 04:53:39.860,Investment,9539297,ACCOUNT_NUMBER: '1bed5c50ce44c38' APP_NAME: 'THOMSON REUTERS' INST_NAME: 'BNP Paribas' INSTRUMENT_TYPE: 'Preferred Stock',BROKER: '564' TRADE_ID: '35a4e911' TRADE_STATUS: 'SETTLED' EVENT_REASON: 'Investment',1bdb977283e2d08,7545043.665951607,PHLX,REGULATORY,16fdbca0ef705a2,6.15,2018-12-10,SPDR MIDCAP,136.2404,ETC,SELL,2adf602e5ce3070,174ddf7271b646f,1
2b3bfd2621de800,CAPIQ,1a1ad5aafe8d63c,225e5d141cf1638,Citi,305,89,DCC,NEWREQ,Preferred Stock,DIS,CHF,122.6346,119108,14606761.94,337,PASS,true,DONE,35a4e911,2018-09-26 04:53:39.860,MARKET,35a4e90f,ONHOLD,DEFAULT,USER_ID: '1a1ad5aafe8d63c' AMOUNT: '1.46067619368E7' SRC_SYSTEM: 'DCC' TICKER: 'DIS',REUTERS,OPTIONS PLACE,8311503,Wells Fargo,DEFER,2018-09-13 04:53:39.860,Retirement,564112,ACCOUNT_NUMBER: '2b3bfd2621de800' APP_NAME: 'CAPIQ' INST_NAME: 'Citi' INSTRUMENT_TYPE: 'Preferred Stock',BROKER: '337' TRADE_ID: '35a4e911' TRADE_STATUS: 'DONE' EVENT_REASON: 'Retirement',22c424fb8777fa8,3348703.756881673,NASDAQ,DERIVATIVES,174bdd79ee972d9,8.11,2018-12-15,SPDR MIDCAP,114.8688,ETC,HOLD,1ef8b0ee5c2fc20,1b969df77041770,1
181d9af8ad4b83a,BLOOMBERG,1fdbaf71da0e480,267ee53061d1880,HSBC,33,66,FRONTIER,NEWCONF,Cash,DG,CHF,40.8828,622961,25468389.97,630,CANCELLED,true,INPROCESS,35a4e91b,2018-09-25 11:19:29.803,BUY STOP,35a4e907,APPROVED,RISK,USER_ID: '1fdbaf71da0e480' AMOUNT: '2.54683899708E7' SRC_SYSTEM: 'FRONTIER' TICKER: 'DG',ETRADE,OPTIONS PRO,3131982,ICBC,REJECT,2018-06-29 11:19:29.803,Retirement,4705584,ACCOUNT_NUMBER: '181d9af8ad4b83a' APP_NAME: 'BLOOMBERG' INST_NAME: 'HSBC' INSTRUMENT_TYPE: 'Cash',BROKER: '630' TRADE_ID: '35a4e91b' TRADE_STATUS: 'INPROCESS' EVENT_REASON: 'Retirement',1c7693560c0017c,1501642.9054388686,ISE,BANK,1e54abb9ba7db38,10.23,2018-11-27,ISHARES FUTURES,41.1750,ETC,SUSPEND,26767b629593430,217834bef8e7e98,1
